adult;backdrop_path;genre_ids;id;original_language;original_title;overview;popularity;poster_path;release_date;title;video;vote_average;vote_count
False;/zl4tDlOL4JVLB4BIATf8fkO8qtw.jpg;[10749, 10770];374603;en;Love in Paradise;When a Western movie star is forced to spend a PR weekend at a dude ranch, his fans are horrified to learn he's actually a city slicker who's afraid of horses and has never been west of the Hudson River.;2.494;/2X1ZTZY442QYsLdUrW6Gk8x05bO.jpg;2016-01-02;Love in Paradise;False;5.0;10
False;/nvGotk2esODSIko5OY3g0RJykYF.jpg;[18, 27, 53];427800;en;Capture Kill Release;A couple plots to murder a random stranger just for the thrill of it, but things turn ugly when one of them decides not to go through with it.;2.407;/AbSuFAYDkwIR41RZgv85tO84AdM.jpg;2016-10-09;Capture Kill Release;False;4.2;25
False;/kdt4rF9PCUqw0Ko924CWD2WPzQh.jpg;[99];390782;en;I'll Sleep When I'm Dead;An energetic and fast-paced bio-doc that examines the story behind one of the most prolific and well-known DJs working today: Steve Aoki.;3.223;/uRXeWABVk8cYJ2UTEsZJUrVszWb.jpg;2016-04-15;I'll Sleep When I'm Dead;False;6.6;17
False;/hZpNfJbW1M8vxsIZna0IqD4oBaM.jpg;[18, 37];412540;en;JL Family Ranch;A veteran rancher and former sheriff, forced to face some federal bureaucracy when an old enemy-cum-millionaire alleges he doesn't actually own his beloved family ranch in a small Texas town.;2.003;/4U62IwRooCh04TGKf3jiiHrzuTg.jpg;2016-07-22;JL Family Ranch;False;4.0;5
False;/jGAonbmaDrNlztfZjJqy14MKlaR.jpg;[28, 35, 80];346558;en;Pocket Listing;A satirical thriller about L.A.'s real estate roller coaster. Double crosses, adultery, murder, mistaken identity, and revenge ensues when a mysterious power player and his sultry wife hire a disgraced Los Angeles property broker to discreetly market and sell their Malibu villa.;3.267;/oa89cRKUMLdT8eOKXBYB7Zg7vnW.jpg;2016-12-01;Pocket Listing;False;7.8;13
False;/cLcjoTEjbZAyRZzTdXuamWaWVKW.jpg;[35];380856;en;A Stand Up Guy;A low-level mobster takes a stab at stand-up comedy while in the Witness Protection Program.;2.564;/uvsPkx9W3eyPoPQwApSk07jWhkr.jpg;2016-02-09;A Stand Up Guy;False;5.1;9
False;/lOOp4c6Tk6026j6aNTlsguRvcHh.jpg;[10770, 10749];426473;en;A Snow Capped Christmas;An injured figure skater is sent to the mountains to recover from an injury. Once there, she meets an ex-hockey player and his young daughter and begins to realise that something is missing from her life.;3.024;/211uX0YZZ7xvJMcOMrTTrdWtZdX.jpg;2016-11-26;A Snow Capped Christmas;False;6.3;21
False;/lVR7yfkObpcD6yG0DGHUAGDjE7r.jpg;[18, 36];430158;en;To Walk Invisible;To Walk Invisible takes a new look at the extraordinary Brontë family, telling the story of these remarkable women who, despite the obstacles they faced, came from obscurity to produce some of the greatest novels in the English language.;3.713;/upbi8JRtnd0yI5AvuTOxjYnckCV.jpg;2017-03-26;To Walk Invisible;False;7.3;28
False;/u2JJmMWplJRiEek2Bzby0Ddwkl6.jpg;[28, 12, 14];431643;en;Sinbad and the War of the Furies;On a treasure hunt gone wrong, modern-day adventurer Sinbad accidentally releases the Furies, three beautiful but terrible ancient beings powerful enough to threaten life on Earth.;4.273;/c3iSMNotjwXdB4DZQTOf3QHMHLy.jpg;2016-12-06;Sinbad and the War of the Furies;False;5.4;9
False;/r75lJJvFwVkH8nfevh0mu5yscnK.jpg;[14];404947;en;Sinister Squad;When a supernatural cult threatens Earth, Alice must assemble a team of fairy tale villains to face the literal forces of Death.;3.494;/phd7kaXt1RdzwE8FVXQaLzX0GTC.jpg;2016-07-05;Sinister Squad;False;2.9;24
