adult;budget;genre_id;genre_name;id;original_language;original_title;popularity;revenue;runtime;status;vote_average;vote_count
False;0;35.0;Comedy;508139;en;The Magic Diner Pt.II;1.418;0;5;Released;0.0;0
False;0;16.0;Animation;505832;en;My Little Pony: Equestria Girls - Forgotten Friendship;3.448;0;44;Released;6.2;10
False;0;10751.0;Family;505832;en;My Little Pony: Equestria Girls - Forgotten Friendship;3.448;0;44;Released;6.2;10
False;0;14.0;Fantasy;505832;en;My Little Pony: Equestria Girls - Forgotten Friendship;3.448;0;44;Released;6.2;10
False;0;27.0;Horror;512701;en;Ghost of Camp Blood;1.852;0;73;Released;5.8;6
False;0;35.0;Comedy;550302;en;Ron White: If You Quit Listening, I'll Shut Up;3.023;0;63;Released;6.5;13
False;0;99.0;Documentary;469062;en;Scotty and the Secret History of Hollywood;2.135;176236;98;Released;6.7;13
False;0;18.0;Drama;551395;en;The Maestro;1.345;0;96;Released;9.0;1
False;0;99.0;Documentary;511541;en;The Man Who Stole Banksy;1.506;0;90;Released;8.3;5
False;0;27.0;Horror;552477;en;Let's Not Meet;1.464;0;114;Released;6.8;4
False;0;18.0;Drama;536329;en;Veslemøy's Song;1.519;0;9;Released;7.8;4
False;0;18.0;Drama;518729;en;Autumn Stables;2.498;0;90;Released;7.7;3
False;0;10749.0;Romance;518729;en;Autumn Stables;2.498;0;90;Released;7.7;3
False;0;10770.0;TV Movie;518729;en;Autumn Stables;2.498;0;90;Released;7.7;3
False;0;35.0;Comedy;566674;en;Russell Brand: Re:Birth;3.161;0;63;Released;6.4;12
False;0;10402.0;Music;555032;en;Hocus Pocus 25th Anniversary Halloween Bash;2.791;0;90;Released;6.9;19
False;0;99.0;Documentary;555032;en;Hocus Pocus 25th Anniversary Halloween Bash;2.791;0;90;Released;6.9;19
False;0;10751.0;Family;555032;en;Hocus Pocus 25th Anniversary Halloween Bash;2.791;0;90;Released;6.9;19
False;0;10752.0;War;559578;en;Alone We Fight;2.55;0;91;Released;5.8;6
False;1;28.0;Action;413138;en;The Lucky Man;2.353;24;98;Released;6.0;5
False;1;18.0;Drama;413138;en;The Lucky Man;2.353;24;98;Released;6.0;5
False;1;878.0;Science Fiction;413138;en;The Lucky Man;2.353;24;98;Released;6.0;5
False;0;18.0;Drama;529881;en;The Joke Thief;2.035;0;81;Released;6.5;4
False;0;18.0;Drama;445559;ru;Подбросы;2.87;0;88;Released;5.6;5
False;0;80.0;Crime;445559;ru;Подбросы;2.87;0;88;Released;5.6;5
False;0;80.0;Crime;597710;en;Shattered Memories;1.507;0;86;Released;5.3;3
False;0;53.0;Thriller;597710;en;Shattered Memories;1.507;0;86;Released;5.3;3
False;0;10770.0;TV Movie;597710;en;Shattered Memories;1.507;0;86;Released;5.3;3
False;0;27.0;Horror;449454;en;E-Demon;2.298;0;85;Released;4.1;5
False;0;18.0;Drama;449454;en;E-Demon;2.298;0;85;Released;4.1;5
False;0;53.0;Thriller;449454;en;E-Demon;2.298;0;85;Released;4.1;5
False;0;99.0;Documentary;502183;en;If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd;2.037;0;94;Released;7.7;6
